Broadcast Media,MEDIA.ONLINE.BROADCASTING
Civic & Social Organization,ORGANIZATIONS.CIVIC_AND_SOCIAL_ORGANIZATIONS
Consumer Electronics,RETAIL.CONSUMER_ELECTRONICS_AND_COMPUTERS_RETAIL
Fine Art,BUSINESS_SERVICES.ARTS_AND_CRATS
Gambling & Casinos,LEGAL_ISSUES.GAMBLES
Construction,CONSTRUCTION
Education Management,EDUCATION
Law Practice,LAW.LAW_PRACTICE
Law Enforcement,LAW
Business Supplies & Equipment,MANUFACTURING.BUSINESS_SUPPLIES_AND_EQUIPMENT
International Affairs,GOVERNMENT.INTERNATIONAL_SERVICES
Hospitality,HOSPITALITY
Information Services,BUSINESS_SERVICES.CUSTOM_SOFTWARE_AND_IT_SERVICES
Entertainment,HOSPITALITY
Higher Education,EDUCATION.COLLEGES_AND_UNIVERSITIES
Consumer Goods,RETAIL
Public Relations,BUSINESS_SERVICES.PUBLIC_RELATIONS
Market Research,BUSINESS_SERVICES.ADVERTISING_AND_MARKETING
Pharmaceuticals,MANUFACTURING.PHARMACEUTICALS
Legal Services,LAW
Online Publishing,MEDIA.ONLINE.PUBLISHING
Investment Management,FINANCE.INVESTMENT_BANKING
Automotive,MANUFACTURING.AUTOMOTIVE_PARTS
Museums & Institutions,HOSPITALITY.MUSEUMS_AND_ART_GALLERIES
Luxury Goods & Jewelry,RETAIL.JEWELRY_AND_WATCH_RETAIL
Maritime,TRANSPORTATION.MARINE_SHIPPING_AND_TRANSPORTATION
Computer Networking,SOFTWARE.NETWORKING_SOFTWARE
Publishing,MEDIA.ONLINE.PUBLISHING|MEDIA.OFFLINE.PUBLISHING
Farming,AGRICULTURE.CROPS
Commercial Real Estate,REAL_ESTATE
Political Organization,GOVERNMENT
Architecture & Planning,CONSTRUCTION.ARCHITECTURE_OR_ENGINEERING_AND_DESIGN
Mental Health Care,HEALTHCARE_SERVICES.MENTAL_HEALTH_AND_REHABILITATION_FACILITIES
Wireless,TELECOMMUNICATIONS.TELEPHONY_AND_WIRELESS
Media Production,MEDIA
Government Relations,GOVERNMENT.GOVERNMENT_RELATIONS
Primary/Secondary,EDUCATION.K-12_SCHOOLS
Wholesale,RETAIL
Food Production,MANUFACTURING.FOOD_AND_BEVERAGE
Utilities,GOVERNMENT
Individual & Family Services,HEALTHCARE_SERVICES.INDIVIDUAL_AND_FAMILY_SERVICES
Aviation & Aerospace,MANUFACTURING.AEROSPACE_AND_DEFENSE
Arts & Crafts,RETAIL.ARTS_AND_CRAFTS
Libraries,HOSPITALITY.LIBRARIES
Venture Capital,FINANCE.VENTURE_CAPITAL_AND_PRIVATE_EQUITY
Executive Office,GOVERNMENT
Facilities Services,BUSINESS_SERVICES.FACILITIES_SERVICES
Security & Investigations,BUSINESS_SERVICES.SECURITY_PRODUCTS_AND_SERVICES
Translation & Localization,BUSINESS_SERVICES.TRANSLATION_AND_LINGUISTIC_SERVICES
Motion Pictures & Film,MEDIA.ONLINE.MOTION_PICTURES_AND_FILM|MEDIA.OFFLINE.MOTION_PICTURES_AND_FILM
Transportation/Trucking/Railroad,TRANSPORTATION
Photography,BUSINESS_SERVICES.PHOTOGRAPHY_STUDIO
Performing Arts,HOSPITALITY.PERFORMING_ARTS_THEATERS
Computer Games,GAMES.ONLINE
International Trade & Development,BUSINESS_SERVICES.TRADE
Building Materials,MANUFACTURING.BUILDING_MATERIALS
Printing,BUSINESS_SERVICES.COMMERCIAL_PRINTING
Renewables & Environment,ENERGY_OR_UTILITIES_AND_WASTE.RENEWABLE_AND_ENVIRONMENT
Sporting Goods,MANUFACTURING.SPORTING_GOODS
Dairy,MANUFACTURING.FOOD_AND_BEVERAGE
Paper & Forest Products,MANUFACTURING.PULP_AND_PAPER
Events Services,BUSINESS_SERVICES
Airlines/Aviation,TRANSPORTATION.AIRLINES_OR_AIRPORTS_AND_AIR_SERVICES
Writing & Editing,MEDIA.ONLINE.PUBLISHING|MEDIA.OFFLINE.PUBLISHING
Mining & Metals,MANUFACTURING.MINERALS_AND_MINING
Packaging & Containers,MANUFACTURING.PLASTIC_OR_PACKAGING_AND_CONTAINERS
Industrial Automation,MANUFACTURING.MECHANICAL_OR_INDUSTRIAL_ENGINEERING
Apparel & Fashion,RETAIL.APPAREL_AND_ACCESSORIES_RETAIL
Music,MEDIA.OFFLINE.MUSIC_PRODUCTION_AND_SERVICES
Program Development,SOFTWARE.PROGRAM_DEVELOPMENT
Cosmetics,MANUFACTURING.COSMETICS_OR_BEAUTY_SUPPLY_AND_PERSONAL_CARE_PRODUCTS
Professional Training,EDUCATION.TRAINING
Religious Institutions,ORGANIZATIONS.RELIGIOUS_ORGANIZATIONS
Chemicals,MANUFACTURING.CHEMICALS_AND_RELATED_PRODUCTS
Investment Banking/Venture,FINANCE.INVESTMENT_BANKING
Restaurants,HOSPITALITY.RESTAURANTS
Textiles,MANUFACTURING.TEXTILES_AND_APPAREL
Computer Hardware,MANUFACTURING.COMPUTER_EQUIPMENT_AND_PERIPHERALS
Capital Markets,FINANCE
Shipbuilding,MANUFACTURING.BOATS_AND_SUBMARINES
Judiciary,LAW.JUDICIARY
Public Policy,GOVERNMENT.PUBLIC_POLICY
Furniture,RETAIL.FURNITURE
Fundraising,FINANCE
Supermarkets,RETAIL.DEPARTMENT_STORES_OR_SHOPPING_CENTERS_AND_SUPERSTORES
Public Safety,GOVERNMENT.PUBLIC_SAFETY
Consumer Services,BUSINESS_SERVICES
Philanthropy,ORGANIZATIONS.PHILANTHROPY
Plastics,MANUFACTURING.PLASTIC_OR_PACKAGING_AND_CONTAINERS
Veterinary,HEALTHCARE_SERVICES.VETERINARY_SERVICES
Nanotechnology,MANUFACTURING
Tobacco,LEGAL_ISSUES.TOBACCO
Alternative Dispute Resolution,LAW.ALTERNATIVE_DISPUTE_RESOLUTION
Wine & Spirits,MANUFACTURING.FOOD_AND_BEVERAGE
Railroad Manufacture,MANUFACTURING.RAILROAD_MANUFACTURE
Fishery,AGRICULTURE
Recreational Facilities & Services,HOSPITALITY.AMUSEMENT_PARKS_OR_ARCADES_AND_ATTRACTIONS
Package/Freight Delivery,TRANSPORTATION.FREIGHT_AND_LOGISTICS_SERVICES
Think Tanks,GOVERNMENT
Legislative Office,LAW.LEGISLATIVE_OFFICE
Animation,MEDIA.ONLINE.ANIMATION|MEDIA.OFFLINE.ANIMATION
"Glass, Ceramics & Concrete",MANUFACTURING.GLASS_AND_CLAY
Alternative Medicine,HEALTHCARE_SERVICES.ALTERNATIVE_MEDICINE
Ranching,AGRICULTURE.ANIMALS_AND_LIVESTOCK
Warehousing,TRANSPORTATION.TRUCKING_OR_MOVING_AND_STORAGE
Primary/Secondary Education,EDUCATION.K-12_SCHOOLS
Public Relations & Communications,BUSINESS_SERVICES.PUBLIC_RELATIONS
Online Media,MEDIA.ONLINE
Non-profit Organization Management,ORGANIZATIONS.NON_PROFIT_AND_CHARITABLE_ORGANIZATIONS
Investment Banking,FINANCE.INVESTMENT_BANKING
Professional Training & Coaching,EDUCATION.TRAINING
Venture Capital & Private Equity,FINANCE.VENTURE_CAPITAL_AND_PRIVATE_EQUITY
"Leisure, Travel & Tourism",HOSPITALITY.TRAVEL_AGENCIES_AND_SERVICES
